Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Proj,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBasis,DevigMethod,LineSource,FixtureID,CapturedAt
2026,3,16739,Bijan Robinson,ATL,RB,at GB,rushYds,Hard Rock,53.5,over,87.97,-400,260,0.8000,0.7423,0.0778,0,0.8840,0.0840,0.1418,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,12483,Josh Allen,BUF,QB,vs LAC,rushYds,Hard Rock,49.5,under,32.45,-400,250,0.8000,0.7368,0.0857,0,0.8840,0.0840,0.1472,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,passYds,Hard Rock,298.5,over,259.92,350,-575,0.2222,0.2069,0.0741,0,0.3063,0.0840,0.0994,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,12483,Josh Allen,BUF,QB,vs LAC,rushYds,Hard Rock,58.5,under,32.45,-750,425,0.8824,0.8225,0.0728,0,0.9661,0.0838,0.1437,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,14446,Justin Herbert,LAC,QB,at BUF,rushYds,Caesars,9.5,over,22.63,-335,,0.7701,0.7701,,1,0.8538,0.0837,0.0837,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15868,Drake London,ATL,WR,at GB,recYds,Hard Rock,108.5,under,61.67,-800,425,0.8889,0.8235,0.0794,0,0.9723,0.0834,0.1488,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,18478,Tre Harris,LAC,WR,at BUF,recYds,Hard Rock,64.5,under,34.63,-650,375,0.8667,0.8046,0.0772,0,0.9500,0.0833,0.1454,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15306,Javonte Williams,DAL,RB,vs BAL,rushYds,Hard Rock,104.5,under,63.83,-1100,500,0.9167,0.8462,0.0833,0,0.9999,0.0833,0.1538,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,16899,Quentin Johnston,LAC,WR,at BUF,recYds,DraftKings,14.5,over,42.06,-519,,0.8384,0.8384,,1,0.9216,0.0831,0.0831,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15265,Kyle Pitts,ATL,TE,at GB,recYds,Hard Rock,24.5,over,40.08,-240,165,0.7059,0.6516,0.0832,0,0.7890,0.0831,0.1373,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,16899,Quentin Johnston,LAC,WR,at BUF,recYds,DraftKings,49.5,over,42.06,197,,0.3367,0.3367,,1,0.4197,0.0830,0.0830,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15306,Javonte Williams,DAL,RB,vs BAL,recYds,Hard Rock,46.5,under,15.36,-1100,525,0.9167,0.8514,0.0767,0,0.9997,0.0830,0.1483,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,17795,MarShawn Lloyd,GB,RB,vs ATL,rushYds,DraftKings,19.5,over,45.05,-249,,0.7135,0.7135,,1,0.7963,0.0828,0.0828,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,18445,Omarion Hampton,LAC,RB,at BUF,rushYds,theScore,79.5,over,69.88,210,,0.3226,0.3226,,1,0.4054,0.0828,0.0828,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,17700,Michael Penix Jr.,ATL,QB,at GB,int,Hard Rock,0.5,under,0.5,-110,-120,0.5238,0.4899,0.0693,0,0.6065,0.0827,0.1167,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,15850,Jahan Dotson,ATL,WR,at GB,recYds,Hard Rock,54.5,under,17.4,-1100,525,0.9167,0.8514,0.0767,0,0.9991,0.0825,0.1477,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,17724,Ladd McConkey,LAC,WR,at BUF,receptions,Hard Rock,6.5,over,4.77,350,-600,0.2222,0.2059,0.0794,0,0.3044,0.0822,0.0985,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
