Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBasis,DevigMethod,LineSource,FixtureID,CapturedAt
2026,2,17033,Sam LaPorta,DET,TE,at BUF,recYds,Hard Rock,64.5,under,-275,195,0.7333,0.6839,0.0723,0,0.8789,0.1456,0.1950,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16697,Dalton Kincaid,BUF,TE,vs DET,receptions,BetRivers,6.5,over,650,,0.1333,0.1333,,1,0.2781,0.1448,0.1448,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16697,Dalton Kincaid,BUF,TE,vs DET,receptions,DraftKings,6.5,over,650,,0.1333,0.1333,,1,0.2781,0.1448,0.1448,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,DraftKings,5.5,over,256,,0.2809,0.2809,,1,0.4256,0.1448,0.1448,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,13466,Dawson Knox,BUF,TE,vs DET,recYds,FanDuel,9.5,over,-162,,0.6183,0.6183,,1,0.7628,0.1444,0.1444,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,rushYds,FanDuel,90.5,over,-114,-114,0.5327,0.5000,0.0654,0,0.6764,0.1437,0.1764,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,DraftKings,9.5,over,2800,,0.0345,0.0345,,1,0.1781,0.1436,0.1436,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,107.5,over,550,-1200,0.1538,0.1429,0.0769,0,0.2961,0.1423,0.1533,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,FanDuel,6.5,over,369,,0.2132,0.2132,,1,0.3552,0.1420,0.1420,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,rushYds,DraftKings,99.5,over,117,,0.4608,0.4608,,1,0.6025,0.1416,0.1416,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,rushYds,FanDuel,109.5,over,167,,0.3745,0.3745,,1,0.5159,0.1413,0.1413,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,13466,Dawson Knox,BUF,TE,vs DET,recYds,Hard Rock,7.5,over,-210,145,0.6774,0.6240,0.0856,0,0.8172,0.1398,0.1932,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,rushYds,FanDuel,99.5,over,116,,0.4630,0.4630,,1,0.6025,0.1395,0.1395,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,rushYds,BetRivers,119.5,over,250,,0.2857,0.2857,,1,0.4249,0.1392,0.1392,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,rushYds,DraftKings,89.5,over,-120,,0.5455,0.5455,,1,0.6843,0.1388,0.1388,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12483,Josh Allen,BUF,QB,vs DET,rushYds,Hard Rock,49.5,under,-500,300,0.8333,0.7692,0.0833,0,0.9720,0.1387,0.2028,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,17033,Sam LaPorta,DET,TE,at BUF,recYds,Hard Rock,66.5,under,-325,210,0.7647,0.7033,0.0873,0,0.9029,0.1382,0.1996,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,rushYds,BetRivers,91.5,over,-113,-118,0.5305,0.4950,0.0718,0,0.6685,0.1379,0.1735,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,rushYds,DraftKings,91.5,over,-113,-111,0.5305,0.5021,0.0566,0,0.6685,0.1379,0.1664,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,theScore,6.5,over,360,,0.2174,0.2174,,1,0.3552,0.1378,0.1378,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,rushYds,theScore,99.5,over,115,,0.4651,0.4651,,1,0.6025,0.1373,0.1373,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,rushYds,Hard Rock,99.5,over,115,-165,0.4651,0.4276,0.0878,0,0.6025,0.1373,0.1749,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,10729,Jared Goff,DET,QB,at BUF,passAtt,DraftKings,35.5,under,-102,-124,0.5050,0.4770,0.0585,0,0.6422,0.1372,0.1651,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,rushYds,DraftKings,109.5,over,164,,0.3788,0.3788,,1,0.5159,0.1371,0.1371,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,rushYds,BetRivers,89.5,over,-121,,0.5475,0.5475,,1,0.6843,0.1367,0.1367,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,23.5,over,-500,300,0.8333,0.7692,0.0833,0,0.9686,0.1353,0.1994,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,10729,Jared Goff,DET,QB,at BUF,passAtt,Caesars,36.5,under,-134,101,0.5726,0.5351,0.0702,0,0.7070,0.1344,0.1719,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,13466,Dawson Knox,BUF,TE,vs DET,recYds,Caesars,12.5,over,-114,-114,0.5327,0.5000,0.0654,0,0.6668,0.1341,0.1668,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,13466,Dawson Knox,BUF,TE,vs DET,recYds,FanDuel,12.5,over,-114,-114,0.5327,0.5000,0.0654,0,0.6668,0.1341,0.1668,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,17033,Sam LaPorta,DET,TE,at BUF,recYds,Hard Rock,76.5,under,-525,300,0.8400,0.7706,0.0900,0,0.9739,0.1339,0.2032,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,13466,Dawson Knox,BUF,TE,vs DET,recYds,theScore,9.5,over,-170,,0.6296,0.6296,,1,0.7628,0.1331,0.1331,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,52.5,over,-210,145,0.6774,0.6240,0.0856,0,0.8101,0.1327,0.1861,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,rushYds,theScore,94.5,over,-105,-125,0.5122,0.4797,0.0678,0,0.6442,0.1320,0.1645,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12477,DJ Moore,BUF,WR,vs DET,recYds,Hard Rock,90.5,under,-425,275,0.8095,0.7522,0.0762,0,0.9414,0.1319,0.1892,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,13466,Dawson Knox,BUF,TE,vs DET,recYds,Hard Rock,12.5,over,-115,-115,0.5349,0.5000,0.0698,0,0.6668,0.1319,0.1668,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16697,Dalton Kincaid,BUF,TE,vs DET,receptions,theScore,5.5,over,275,,0.2667,0.2667,,1,0.3982,0.1316,0.1316,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16697,Dalton Kincaid,BUF,TE,vs DET,receptions,DraftKings,4.5,over,151,,0.3984,0.3984,,1,0.5297,0.1313,0.1313,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12483,Josh Allen,BUF,QB,vs DET,rushYds,Hard Rock,50.5,under,-550,300,0.8462,0.7719,0.0962,0,0.9772,0.1310,0.2052,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
