Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Odds,ImpliedProb,OurProb,Edge,EdgeBucket,FlatStakeUnits,KellyStakeUnits,KellyFractionUsed,CapturedAt,Status,Actual,PnlFlatUnits,PnlKellyUnits
2026,1,15892,Khalil Shakir,BUF,WR,@ HOU,receptions,betrivers,3.5,-122,0.5495,0.6832,0.1337,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15406,DeVonta Smith,PHI,WR,vs WAS,recYds,circasports,66.5,-110,0.5238,0.6575,0.1337,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,14436,Cole Kmet,CHI,TE,@ CAR,recYds,fanduel,13.5,-114,0.5327,0.6651,0.1324,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,16689,Josh Downs,IND,WR,vs BAL,recYds,draftkings,44.5,-111,0.5261,0.6579,0.1318,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,14378,Michael Pittman,PIT,WR,vs ATL,recYds,betrivers,37.5,-118,0.5413,0.6726,0.1313,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,13590,Tony Pollard,TEN,RB,vs NYJ,recYds,betrivers,8.5,-110,0.5238,0.6540,0.1302,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18445,Omarion Hampton,LAC,RB,vs ARI,recYds,fanduel,12.5,-114,0.5327,0.6626,0.1299,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,14416,Jalen Hurts,PHI,QB,vs WAS,passYds,draftkings,211.5,-112,0.5283,0.6567,0.1284,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,14455,Jonathan Taylor,IND,RB,vs BAL,recYds,draftkings,17.5,-110,0.5238,0.6520,0.1282,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15829,Garrett Wilson,NYJ,WR,@ TEN,anytimeTD,circasports,0.5,260,0.2778,0.4055,0.1277,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,14657,Rico Dowdle,PIT,RB,vs ATL,receptions,betrivers,1.5,-141,0.5851,0.7110,0.1259,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,19268,Carnell Tate,TEN,WR,vs NYJ,recYds,circasports,37.5,-110,0.5238,0.6496,0.1258,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15210,Rashod Bateman,BAL,WR,@ IND,receptions,betrivers,2.5,175,0.3636,0.4892,0.1256,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,14510,Darnell Mooney,NYG,WR,vs DAL,receptions,draftkings,1.5,100,0.5000,0.6256,0.1256,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15828,Malik Davis,DAL,RB,@ NYG,anytimeTD,fanduel,0.5,800,0.1111,0.2366,0.1255,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18514,Cam Skattebo,NYG,RB,vs DAL,receptions,betr,2.5,121,0.4525,0.5769,0.1244,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,8783,Travis Kelce,KC,TE,vs DEN,receptions,thescore,3.5,-145,0.5918,0.7147,0.1229,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,17033,Sam LaPorta,DET,TE,vs NO,recYds,betrivers,39.5,-117,0.5392,0.6617,0.1226,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,17057,Isaiah Davis,NYJ,RB,@ TEN,anytimeTD,fanduel,0.5,1000,0.0909,0.2134,0.1225,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,13424,DK Metcalf,PIT,WR,vs ATL,recYds,betrivers,46.5,-114,0.5327,0.6544,0.1217,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,10215,Darren Waller,CAR,TE,vs CHI,anytimeTD,betrivers,0.5,500,0.1667,0.2882,0.1216,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,17976,Jalen Coker,CAR,WR,vs CHI,receptions,fanduel,3.5,-128,0.5614,0.6829,0.1214,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,13427,Justice Hill,BAL,RB,@ IND,rushYds,caesars,8.5,-113,0.5305,0.6500,0.1195,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,16919,Zay Flowers,BAL,WR,@ IND,receptions,draftkings,4.5,-142,0.5868,0.7049,0.1182,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,17716,Brian Thomas,JAX,WR,vs CLE,recYds,betrivers,36.5,-115,0.5349,0.6530,0.1181,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15200,Nico Collins,HOU,WR,vs BUF,recYds,draftkings,66.5,-113,0.5305,0.6466,0.1160,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,19313,Malachi Fields,NYG,WR,vs DAL,receptions,draftkings,2.5,146,0.4065,0.5223,0.1158,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,13466,Dawson Knox,BUF,TE,@ HOU,receptions,draftkings,1.5,106,0.4854,0.5977,0.1122,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15332,Amon-Ra St. Brown,DET,WR,vs NO,receptions,betrivers,6.5,100,0.5000,0.6117,0.1117,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,8627,Keenan Allen,IND,WR,vs BAL,recYds,fanduel,26.5,-114,0.5327,0.6428,0.1101,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,16997,Cam Ward,TEN,QB,vs NYJ,passYds,betrivers,196.5,-115,0.5349,0.6441,0.1093,10-15%,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
