Season,Week,Persona,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBucket,StakeUnits,ScaledBy,BankrollBefore,Status,Actual,PnlUnits,ClvStatus,ClvProb,ClvPct,ClosingOdds,ClosingLine,LineMove,Source,CapturedAt
2026,1,firehose,14455,Jonathan Taylor,IND,RB,vs BAL,recYds,draftkings,17.5,over,-110,,0.5238,0.5238,,1,0.6520,0.1282,0.1282,10-15%,1,1,100,won,23,0.9091,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,14657,Rico Dowdle,PIT,RB,vs ATL,receptions,betrivers,1.5,over,-141,,0.5851,0.5851,,1,0.7110,0.1259,0.1259,10-15%,1,1,100,won,2,0.7092,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,19268,Carnell Tate,TEN,WR,vs NYJ,recYds,circasports,37.5,over,-110,,0.5238,0.5238,,1,0.6496,0.1258,0.1258,10-15%,1,1,100,won,38,0.9091,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,14510,Darnell Mooney,NYG,WR,vs DAL,receptions,draftkings,1.5,over,100,,0.5000,0.5000,,1,0.6256,0.1256,0.1256,10-15%,1,1,100,won,2,1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,15210,Rashod Bateman,BAL,WR,@ IND,receptions,betrivers,2.5,over,175,,0.3636,0.3636,,1,0.4892,0.1256,0.1256,10-15%,1,1,100,lost,0,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,18514,Cam Skattebo,NYG,RB,vs DAL,receptions,betr,2.5,over,121,,0.4525,0.4525,,1,0.5769,0.1244,0.1244,10-15%,1,1,100,lost,0,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,8783,Travis Kelce,KC,TE,vs DEN,receptions,thescore,3.5,over,-145,,0.5918,0.5918,,1,0.7147,0.1229,0.1229,10-15%,1,1,100,lost,3,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,17033,Sam LaPorta,DET,TE,vs NO,recYds,betrivers,39.5,over,-117,,0.5392,0.5392,,1,0.6617,0.1226,0.1226,10-15%,1,1,100,won,48,0.8547,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,13424,DK Metcalf,PIT,WR,vs ATL,recYds,betrivers,46.5,over,-114,,0.5327,0.5327,,1,0.6544,0.1217,0.1217,10-15%,1,1,100,lost,40,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,17976,Jalen Coker,CAR,WR,vs CHI,receptions,fanduel,3.5,over,-128,,0.5614,0.5614,,1,0.6829,0.1214,0.1214,10-15%,1,1,100,won,8,0.7813,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,13427,Justice Hill,BAL,RB,@ IND,rushYds,caesars,8.5,over,-113,,0.5305,0.5305,,1,0.6500,0.1195,0.1195,10-15%,1,1,100,won,18,0.885,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,16919,Zay Flowers,BAL,WR,@ IND,receptions,draftkings,4.5,over,-142,,0.5868,0.5868,,1,0.7049,0.1182,0.1182,10-15%,1,1,100,won,5,0.7042,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,17716,Brian Thomas,JAX,WR,vs CLE,recYds,betrivers,36.5,over,-115,,0.5349,0.5349,,1,0.6530,0.1181,0.1181,10-15%,1,1,100,won,40,0.8696,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,15200,Nico Collins,HOU,WR,vs BUF,recYds,draftkings,66.5,over,-113,,0.5305,0.5305,,1,0.6466,0.1160,0.1160,10-15%,1,1,100,won,75,0.885,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,19313,Malachi Fields,NYG,WR,vs DAL,receptions,draftkings,2.5,over,146,,0.4065,0.4065,,1,0.5223,0.1158,0.1158,10-15%,1,1,100,lost,2,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,13466,Dawson Knox,BUF,TE,@ HOU,receptions,draftkings,1.5,over,106,,0.4854,0.4854,,1,0.5977,0.1122,0.1122,10-15%,1,1,100,lost,1,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,15332,Amon-Ra St. Brown,DET,WR,vs NO,receptions,betrivers,6.5,over,100,,0.5000,0.5000,,1,0.6117,0.1117,0.1117,10-15%,1,1,100,won,10,1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,8627,Keenan Allen,IND,WR,vs BAL,recYds,fanduel,26.5,over,-114,,0.5327,0.5327,,1,0.6428,0.1101,0.1101,10-15%,1,1,100,won,32,0.8772,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,16997,Cam Ward,TEN,QB,vs NYJ,passYds,betrivers,196.5,over,-115,,0.5349,0.5349,,1,0.6441,0.1093,0.1093,10-15%,1,1,100,lost,140,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,16886,C.J. Stroud,HOU,QB,vs BUF,rushYds,draftkings,9.5,over,-111,,0.5261,0.5261,,1,0.6342,0.1082,0.1082,10-15%,1,1,100,won,15,0.9009,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,16899,Quentin Johnston,LAC,WR,vs ARI,recYds,draftkings,42.5,over,-110,,0.5238,0.5238,,1,0.6320,0.1082,0.1082,10-15%,1,1,100,lost,17,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,18472,Harold Fannin,CLE,TE,@ JAX,recYds,draftkings,34.5,over,-111,,0.5261,0.5261,,1,0.6340,0.1079,0.1079,10-15%,1,1,100,lost,21,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,12514,Dalton Schultz,HOU,TE,vs BUF,recYds,draftkings,31.5,over,-109,,0.5215,0.5215,,1,0.6282,0.1067,0.1067,10-15%,1,1,100,won,35,0.9174,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,18562,Pat Bryant,DEN,WR,@ KC,receptions,draftkings,2.5,over,123,,0.4484,0.4484,,1,0.5545,0.1061,0.1061,10-15%,1,1,100,won,4,1.23,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,11698,Samaje Perine,CIN,RB,vs TB,receptions,betrivers,1.5,over,143,,0.4115,0.4115,,1,0.5172,0.1057,0.1057,10-15%,1,1,100,won,3,1.43,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,15459,Noah Gray,KC,TE,vs DEN,recYds,fanduel,9.5,over,-114,,0.5327,0.5327,,1,0.6372,0.1045,0.1045,10-15%,1,1,100,lost,5,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,18534,Tyler Warren,IND,TE,vs BAL,receptions,betrivers,4.5,over,-125,,0.5556,0.5556,,1,0.6597,0.1042,0.1042,10-15%,1,1,100,lost,3,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,13590,Tony Pollard,TEN,RB,vs NYJ,receptions,betrivers,1.5,over,-113,,0.5305,0.5305,,1,0.6340,0.1035,0.1035,10-15%,1,1,100,lost,1,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,15853,George Pickens,DAL,WR,@ NYG,recYds,draftkings,67.5,over,-111,,0.5261,0.5261,,1,0.6289,0.1028,0.1028,10-15%,1,1,100,lost,28,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,13517,Jakobi Meyers,JAX,WR,vs CLE,recYds,draftkings,35.5,over,-113,,0.5305,0.5305,,1,0.6331,0.1026,0.1026,10-15%,1,1,100,won,40,0.885,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,16658,Dontayvion Wicks,PHI,WR,vs WAS,recYds,fanduel,28.5,over,-114,,0.5327,0.5327,,1,0.6351,0.1024,0.1024,10-15%,1,1,100,won,73,0.8772,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,14394,D'Andre Swift,CHI,RB,@ CAR,receptions,hardrock,1.5,over,-170,,0.6296,0.6296,,1,0.7309,0.1012,0.1012,10-15%,1,1,100,lost,1,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,16661,De'Von Achane,MIA,RB,@ LV,rushYds,betrivers,66.5,over,-118,,0.5413,0.5413,,1,0.6421,0.1008,0.1008,10-15%,1,1,100,lost,36,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,16895,Jordan Addison,MIN,WR,vs GB,recYds,circasports,42.5,over,-110,,0.5238,0.5238,,1,0.6246,0.1008,0.1008,10-15%,1,1,100,lost,0,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,19231,Makai Lemon,PHI,WR,vs WAS,recYds,draftkings,23.5,over,-110,,0.5238,0.5238,,1,0.6235,0.0997,0.0997,5-10%,1,1,100,lost,-5,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
