PlayerID,position,year,rush_att,rush_yards,pass_comp,pass_att,pass_yards,Receptions,rec_yards,pass_td,rec_td,rush_td,Targets
18467,RB,2025,121,400,0,0,0,34,247,0,1,2,41
18526,RB,2025,15,60,0,0,0,0,7,0,0,0,1
17510,RB,2025,7,28,0,0,0,1,10,0,0,0,1
17802,RB,2025,25,75,0,0,0,11,84,0,0,0,13
13449,RB,2025,20,87,0,0,0,5,31,0,0,0,6
18518,RB,2025,48,202,0,0,0,9,65,0,0,1,12
18514,RB,2025,177,785,0,0,0,41,293,0,2,7,49
18529,RB,2025,19,75,0,0,0,4,37,0,0,0,6
16941,RB,2025,89,366,0,0,0,36,221,0,1,3,43
15372,RB,2025,185,816,0,0,0,29,223,0,1,6,34
19423,RB,2025,10,42,0,0,0,2,12,0,0,0,2
16102,RB,2025,0,0,0,0,0,0,0,0,0,0,0
14394,RB,2025,209,902,0,0,0,37,255,0,1,7,45
19245,RB,2025,4,18,0,0,0,3,29,0,0,0,4
14455,RB,2025,288,1490,0,0,0,43,313,0,2,10,53
17967,RB,2025,135,578,0,0,0,24,160,0,1,4,29
19425,RB,2025,6,28,0,0,0,1,7,0,0,0,1
16728,RB,2025,84,384,0,0,0,10,80,0,0,3,12
18524,RB,2025,183,752,0,0,0,29,225,0,2,7,39
17760,RB,2025,4,19,0,0,0,1,8,0,0,0,1
17821,RB,2025,58,241,0,0,0,9,77,0,0,1,12
15909,RB,2025,229,991,0,0,0,60,454,0,2,8,71
15984,RB,2025,203,936,0,0,0,45,345,0,1,5,53
19300,RB,2025,57,243,0,0,0,18,128,0,0,1,22
15802,RB,2025,142,590,0,0,0,45,316,0,1,3,52
15852,RB,2025,9,43,0,0,0,1,7,0,0,0,2
19305,RB,2025,0,0,0,0,0,0,0,0,0,0,0
15306,RB,2025,260,1109,0,0,0,43,266,0,1,7,52
15807,RB,2025,225,1025,0,0,0,32,244,0,1,7,39
17593,RB,2025,57,258,0,0,0,9,72,0,0,1,12
18864,RB,2025,4,22,0,0,0,0,4,0,0,0,0
17800,RB,2025,55,217,0,0,0,13,108,0,0,1,17
16992,TE,2025,0,0,0,0,0,2,20,0,0,0,3
