Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Odds,ImpliedProb,OurProb,Edge,RwProj,CapturedAt
2026,1,18484,Tez Johnson,TB,WR,@ CIN,anytimeTD,betr,0.5,393,0.2028,0.1131,-0.0898,0.2,2026-09-11T18:12:40.026Z
2026,1,18484,Tez Johnson,TB,WR,@ CIN,anytimeTD,draftkings,0.5,450,0.1818,0.1131,-0.0687,0.2,2026-09-11T18:12:40.026Z
2026,1,18484,Tez Johnson,TB,WR,@ CIN,anytimeTD,fanduel,0.5,550,0.1538,0.1131,-0.0408,0.2,2026-09-11T18:12:40.026Z
2026,1,18484,Tez Johnson,TB,WR,@ CIN,anytimeTD,mgm,0.5,750,0.1176,0.1131,-0.0046,0.2,2026-09-11T18:12:40.026Z
2026,1,18484,Tez Johnson,TB,WR,@ CIN,anytimeTD,betrivers,0.5,310,0.2439,0.1131,-0.1308,0.2,2026-09-11T18:12:40.026Z
2026,1,18484,Tez Johnson,TB,WR,@ CIN,anytimeTD,caesars,0.5,475,0.1739,0.1131,-0.0608,0.2,2026-09-11T18:12:40.026Z
2026,1,18484,Tez Johnson,TB,WR,@ CIN,anytimeTD,thescore,0.5,550,0.1538,0.1131,-0.0408,0.2,2026-09-11T18:12:40.026Z
2026,1,18307,Kameron Johnson,TB,WR,@ CIN,anytimeTD,fanduel,0.5,1200,0.0769,0.0198,-0.0571,0,2026-09-11T18:12:40.026Z
2026,1,18307,Kameron Johnson,TB,WR,@ CIN,anytimeTD,betrivers,0.5,850,0.1053,0.0198,-0.0855,0,2026-09-11T18:12:40.026Z
2026,1,15222,Kenny Gainwell,TB,RB,@ CIN,anytimeTD,betr,0.5,192,0.3425,0.3363,-0.0061,0.5,2026-09-11T18:12:40.026Z
2026,1,15222,Kenny Gainwell,TB,RB,@ CIN,anytimeTD,draftkings,0.5,185,0.3509,0.3363,-0.0145,0.5,2026-09-11T18:12:40.026Z
2026,1,15222,Kenny Gainwell,TB,RB,@ CIN,anytimeTD,fanduel,0.5,180,0.3571,0.3363,-0.0208,0.5,2026-09-11T18:12:40.026Z
2026,1,15222,Kenny Gainwell,TB,RB,@ CIN,anytimeTD,mgm,0.5,165,0.3774,0.3363,-0.0410,0.5,2026-09-11T18:12:40.026Z
2026,1,15222,Kenny Gainwell,TB,RB,@ CIN,anytimeTD,betrivers,0.5,190,0.3448,0.3363,-0.0085,0.5,2026-09-11T18:12:40.026Z
2026,1,15222,Kenny Gainwell,TB,RB,@ CIN,anytimeTD,caesars,0.5,183,0.3534,0.3363,-0.0170,0.5,2026-09-11T18:12:40.026Z
2026,1,15222,Kenny Gainwell,TB,RB,@ CIN,anytimeTD,thescore,0.5,210,0.3226,0.3363,0.0138,0.5,2026-09-11T18:12:40.026Z
2026,1,12619,Baker Mayfield,TB,QB,@ CIN,anytimeTD,betr,0.5,558,0.1520,0.1219,-0.0301,0.1,2026-09-11T18:12:40.026Z
2026,1,12619,Baker Mayfield,TB,QB,@ CIN,anytimeTD,draftkings,0.5,550,0.1538,0.1219,-0.0319,0.1,2026-09-11T18:12:40.026Z
2026,1,12619,Baker Mayfield,TB,QB,@ CIN,anytimeTD,fanduel,0.5,550,0.1538,0.1219,-0.0319,0.1,2026-09-11T18:12:40.026Z
2026,1,12619,Baker Mayfield,TB,QB,@ CIN,anytimeTD,mgm,0.5,425,0.1905,0.1219,-0.0686,0.1,2026-09-11T18:12:40.026Z
2026,1,12619,Baker Mayfield,TB,QB,@ CIN,anytimeTD,betrivers,0.5,480,0.1724,0.1219,-0.0505,0.1,2026-09-11T18:12:40.026Z
