Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Proj,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBasis,DevigMethod,LineSource,FixtureID,CapturedAt
2026,3,12477,DJ Moore,BUF,WR,vs LAC,recYds,FanDuel,39.5,over,52.56,-194,,0.6599,0.6599,,1,0.7224,0.0625,0.0625,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,17795,MarShawn Lloyd,GB,RB,vs ATL,rushYds,theScore,69.5,over,45.05,550,,0.1538,0.1538,,1,0.2164,0.0625,0.0625,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,15876,James Cook,BUF,RB,vs LAC,rushYds,Hard Rock,126.5,under,76.14,-750,425,0.8824,0.8225,0.0728,0,0.9447,0.0623,0.1222,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,12483,Josh Allen,BUF,QB,vs LAC,passYds,Hard Rock,298.5,over,256.07,350,-600,0.2222,0.2059,0.0794,0,0.2845,0.0623,0.0787,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,12483,Josh Allen,BUF,QB,vs LAC,passYds,DraftKings,319.5,over,256.07,640,,0.1351,0.1351,,1,0.1973,0.0622,0.0622,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,12483,Josh Allen,BUF,QB,vs LAC,rushYds,Hard Rock,63.5,under,32.45,-1200,525,0.9231,0.8523,0.0831,0,0.9853,0.0622,0.1330,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,rushYds,DraftKings,69.5,over,52.86,512,,0.1634,0.1634,,1,0.2255,0.0621,0.0621,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,15868,Drake London,ATL,WR,at GB,recYds,Hard Rock,78.5,under,61.67,-225,155,0.6923,0.6384,0.0845,0,0.7544,0.0621,0.1160,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,16739,Bijan Robinson,ATL,RB,at GB,rushYds,DraftKings,49.5,over,87.97,-553,,0.8469,0.8469,,1,0.9089,0.0620,0.0620,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,16741,Chris Brooks,GB,RB,vs ATL,recYds,Caesars,7.5,over,9.58,-110,-118,0.5238,0.4918,0.0651,0,0.5856,0.0618,0.0938,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,15947,Jake Ferguson,DAL,TE,vs BAL,recYds,Caesars,9.5,over,34.7,-850,,0.8947,0.8947,,1,0.9565,0.0618,0.0618,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,passYds,DraftKings,319.5,over,259.92,544,,0.1553,0.1553,,1,0.2171,0.0618,0.0618,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,16741,Chris Brooks,GB,RB,vs ATL,recYds,Hard Rock,7.5,over,9.58,-110,-120,0.5238,0.4899,0.0693,0,0.5856,0.0618,0.0957,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,18445,Omarion Hampton,LAC,RB,at BUF,rushYds,theScore,49.5,over,69.88,-200,,0.6667,0.6667,,1,0.7285,0.0618,0.0618,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,12477,DJ Moore,BUF,WR,vs LAC,recYds,Hard Rock,29.5,over,52.56,-375,250,0.7895,0.7343,0.0752,0,0.8512,0.0618,0.1170,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,12477,DJ Moore,BUF,WR,vs LAC,recYds,theScore,29.5,over,52.56,-375,,0.7895,0.7895,,1,0.8512,0.0618,0.0618,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,16899,Quentin Johnston,LAC,WR,at BUF,recYds,DraftKings,69.5,over,42.06,503,,0.1658,0.1658,,1,0.2275,0.0616,0.0616,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15947,Jake Ferguson,DAL,TE,vs BAL,recYds,FanDuel,9.5,over,34.7,-852,,0.8950,0.8950,,1,0.9565,0.0616,0.0616,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,17724,Ladd McConkey,LAC,WR,at BUF,recYds,FanDuel,49.5,over,64.26,-141,,0.5851,0.5851,,1,0.6464,0.0614,0.0614,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15907,Brian Robinson Jr.,ATL,RB,at GB,rushYds,Hard Rock,42.5,over,22,375,-650,0.2105,0.1954,0.0772,0,0.2718,0.0613,0.0764,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,16739,Bijan Robinson,ATL,RB,at GB,receptions,Hard Rock,1.5,under,4.13,1200,-5000,0.0769,0.0728,0.0573,0,0.1382,0.0613,0.0655,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,18515,Kaleb Johnson,GB,RB,vs ATL,rushYds,Hard Rock,64.5,under,21.07,-750,400,0.8824,0.8152,0.0824,0,0.9434,0.0611,0.1282,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,14446,Justin Herbert,LAC,QB,at BUF,rushYds,Hard Rock,44.5,under,22.63,-1500,600,0.9375,0.8678,0.0804,0,0.9985,0.0610,0.1307,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,passYds,Hard Rock,318.5,over,259.92,525,-1100,0.1600,0.1486,0.0767,0,0.2209,0.0609,0.0723,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,18445,Omarion Hampton,LAC,RB,at BUF,receptions,BetRivers,0.5,over,2.28,-715,,0.8773,0.8773,,1,0.9381,0.0608,0.0608,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,10819,Derrick Henry,BAL,RB,at DAL,rushYds,BetRivers,99.5,over,97.69,138,,0.4202,0.4202,,1,0.4809,0.0608,0.0608,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,18478,Tre Harris,LAC,WR,at BUF,recYds,Hard Rock,73.5,under,34.63,-1200,525,0.9231,0.8523,0.0831,0,0.9838,0.0608,0.1316,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15265,Kyle Pitts,ATL,TE,at GB,recYds,FanDuel,35.5,over,40.08,-114,-114,0.5327,0.5000,0.0654,0,0.5933,0.0606,0.0933,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,15306,Javonte Williams,DAL,RB,vs BAL,recYds,BetRivers,17.5,under,15.36,-114,-117,0.5327,0.4970,0.0719,0,0.5932,0.0605,0.0962,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,18478,Tre Harris,LAC,WR,at BUF,recYds,Hard Rock,49.5,under,34.63,-275,195,0.7333,0.6839,0.0723,0,0.7935,0.0602,0.1097,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,11008,Dak Prescott,DAL,QB,vs BAL,passYds,Hard Rock,174.5,under,260.17,850,-3000,0.1053,0.0981,0.0730,0,0.1651,0.0599,0.0670,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,10819,Derrick Henry,BAL,RB,at DAL,rushYds,BetRivers,89.5,over,97.69,-113,-117,0.5305,0.4960,0.0697,0,0.5904,0.0598,0.0944,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,16649,Tucker Kraft,GB,TE,vs ATL,recYds,Caesars,29.5,over,49.04,-280,,0.7368,0.7368,,1,0.7966,0.0597,0.0597,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,14371,Jordan Love,GB,QB,vs ATL,passTD,FanDuel,1.5,under,1.48,-102,-130,0.5050,0.4718,0.0702,0,0.5645,0.0596,0.0927,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,passYds,Caesars,279.5,over,259.92,195,,0.3390,0.3390,,1,0.3986,0.0596,0.0596,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,10819,Derrick Henry,BAL,RB,at DAL,rushYds,DraftKings,49.5,over,97.69,-571,,0.8510,0.8510,,1,0.9106,0.0596,0.0596,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,15907,Brian Robinson Jr.,ATL,RB,at GB,rushYds,Hard Rock,49.5,over,22,575,-1300,0.1481,0.1376,0.0767,0,0.2077,0.0595,0.0701,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
